parent,H3K36me3_4h_ab_R1-foldchange,H3K36me3_4h_ab_R2-foldchange,H3K36me3_4h_ab_R3-foldchange,H3K4me2_4h_ab_R1-foldchange,H3K4me2_4h_ab_R2-foldchange,H3K4me2_4h_ab_R3-foldchange,H3K36me3_mean_fold_change,H3K36me3_stdev,H3K4me2_4h_ab_mean_fold_change,H3K4me2_4h_ab_stdev
YBL085W,3.0014003161458804,4.84512526742409,4.462633286085307,1.353630497761983,1.647965016156065,1.0481952701554398,4.1030529565517595,0.7944826132068804,1.3499302613578292,0.24486895252562968
YBL011W,2.963881088332054,6.6359315978936415,4.738154443006612,2.510543310071179,2.0169556000944397,2.2713697489693874,4.779322376410769,1.4993909508527021,2.2662895530450022,0.20153835557695224
YBR112C,3.1703553624270215,5.112589293497042,4.760642160473467,1.7393404342794891,1.841350209254963,1.272498586110889,4.3478622721325095,0.8449294202926086,1.6177297432151139,0.24764209715404217
YBR114W,1.9251148205989934,1.7350313072511947,8.10935336619245,1.3083441557049968,1.5977235685266795,1.0071665912997294,3.9231664980142127,2.9610981416801656,1.3044114385104686,0.24110991343680752
YBR185C,2.181381689073188,4.143365108314787,3.4625003238456364,1.5792957627464623,1.3404396232868387,1.1641923040991147,3.2624157070778703,0.8133757330799695,1.3613092300441387,0.17010658562579878
YBR257W,2.527485931434467,6.056799432665643,3.460133086505847,1.1844758968608289,1.141640432607465,1.007594431083573,4.014806150201985,1.493264902417007,1.1112369201839556,0.07534384916121778
YBR281C,1.514754796590927,3.6784210359424785,1.9047690321615,0.9315170388638568,0.8226799587005408,0.884968522585412,2.3659816215649685,0.9415946361698013,0.8797218400499366,0.044587167532374676
YCL050C,1.0160352003310444,1.8081386790003513,0.6470662724945203,1.5906850993524144,1.2416198867593182,1.2660578350186809,1.1570800506086387,0.4843845033508553,1.3661209403768044,0.15910394809913647
YDL174C,1.8673491430750406,2.505407696413485,2.320137661598321,1.4187464263287677,1.4657626771626056,1.511313516184361,2.2309648336956154,0.26800935841771306,1.465274206558578,0.03779193462218818
YDL070W,1.5444379015311474,1.849771666488721,1.0787408556943887,1.0000844150034243,1.4592269533747162,1.4659997693423832,1.4909834745714192,0.31703328912459233,1.3084370459068413,0.2180557673284935
YDR060W,1.0373593071021998,0.8360741760517784,0.9047267172303006,1.4830893422161366,1.0229512548146176,1.1386046009001882,0.9260534001280929,0.08354658001403997,1.2148817326436474,0.195440383901995
YDR222W,0.9201885591408748,1.00956673515491,1.1178439571786887,0.9372641615310313,0.8850813483077151,0.7486164131935732,1.0158664171581577,0.08081533925511167,0.8569873076774398,0.07953594398090254
YDR501W,0.7944970120741464,1.138728199779536,0.35855070146471657,0.9258214089965513,0.8183725984216991,0.8721692742142617,0.7639253044394664,0.3192388909056119,0.8721210938775039,0.04386580645936921
YEL025C,2.4992572408121916,3.687480707593036,2.2720849640433602,2.045016167947124,1.2826452774566557,1.1840728559111844,2.8196076374828625,0.6206472751356319,1.5039114337716546,0.3847292386277771
YEL015W,1.7407155066366164,1.3230899853457623,1.3063938659758838,1.5102322923705742,1.4305071600966413,1.7479017838612716,1.4567331193194208,0.20092152254098875,1.5628804121094957,0.13481766744435653
YER111C,4.561955375421327,7.196720547420053,5.836597958156225,1.3968273469424248,1.4398598832459641,1.1987970740370704,5.865091293665869,1.0758270556555447,1.3451614347418197,0.10497569356303821
YFL036W,3.7693630313970985,10.839522516456979,3.994329672862259,2.467569993799527,1.8432502938245043,1.1337690981665776,6.2010717402387785,3.2811656160570384,1.8148631285968697,0.5448917817084172
YGL103W,1.3770879069884638,1.5109408935571864,1.670505303704181,1.1521157923563097,1.172302191564105,1.10976089103621,1.5195113680832772,0.11994035170049852,1.1447262916522083,0.026061556725338518
YGL097W,1.3028260691724443,1.3268462432827026,0.9692857346578493,2.1393136026880657,1.1056705521611951,1.0646119229139488,1.1996526823709988,0.1631889296491983,1.43653202592107,0.4972242359614988
YGR194C,2.8209211797891998,2.872237125442946,1.9499389045634714,1.4797138958269873,0.7200696546236087,0.7653991076764649,2.5476990699318725,0.42319912023028283,0.988394219375687,0.3479079937566594
YGR260W,1.1428307809217721,1.6112866831275203,6.283179500254971,1.3636682833103195,0.6820579225485358,0.6349256133021528,3.012432321434755,2.320661265515809,0.8935506063870028,0.33297981546489797
