parent	H3K36me3_mean_fold_change	H3K36me3_stdev	H3K4me2_4h_ab_mean_fold_change	H3K4me2_4h_ab_stdev
YBL085W	4.1030529565517595	0.7944826132068804	1.3499302613578292	0.24486895252562968
YBL011W	4.779322376410769	1.4993909508527021	2.2662895530450022	0.20153835557695224
YBR112C	4.3478622721325095	0.8449294202926086	1.6177297432151139	0.24764209715404217
YBR114W	3.9231664980142127	2.9610981416801656	1.3044114385104686	0.24110991343680752
YBR185C	3.2624157070778703	0.8133757330799695	1.3613092300441387	0.17010658562579878
YBR257W	4.014806150201985	1.493264902417007	1.1112369201839556	0.07534384916121778
YBR281C	2.3659816215649685	0.9415946361698013	0.8797218400499366	0.044587167532374676
YCL050C	1.1570800506086387	0.4843845033508553	1.3661209403768044	0.15910394809913647
YDL174C	2.2309648336956154	0.26800935841771306	1.465274206558578	0.03779193462218818
YDL070W	1.4909834745714192	0.31703328912459233	1.3084370459068413	0.2180557673284935
YDR060W	0.9260534001280929	0.08354658001403997	1.2148817326436474	0.195440383901995
YDR222W	1.0158664171581577	0.08081533925511167	0.8569873076774398	0.07953594398090254
YDR501W	0.7639253044394664	0.3192388909056119	0.8721210938775039	0.04386580645936921
YEL025C	2.8196076374828625	0.6206472751356319	1.5039114337716546	0.3847292386277771
YEL015W	1.4567331193194208	0.20092152254098875	1.5628804121094957	0.13481766744435653
YER111C	5.865091293665869	1.0758270556555447	1.3451614347418197	0.10497569356303821
YFL036W	6.2010717402387785	3.2811656160570384	1.8148631285968697	0.5448917817084172
YGL103W	1.5195113680832772	0.11994035170049852	1.1447262916522083	0.026061556725338518
YGL097W	1.1996526823709988	0.1631889296491983	1.43653202592107	0.4972242359614988
YGR194C	2.5476990699318725	0.42319912023028283	0.988394219375687	0.3479079937566594
YGR260W	3.012432321434755	2.320661265515809	0.8935506063870028	0.33297981546489797
YGR264C	4.812938902208758	1.8183976224641898	1.1242288640093272	0.09324965843077493
YGR266W	1.7044092123952623	0.5980879873889272	1.4949802489988737	0.1705330980491782
YGR281W	2.4151957609658172	0.515188062116513	1.1126034265993223	0.14737954276677173
YHR006W	3.085652778153444	0.7912155977571406	2.3900254204270035	0.8216870485476767
YHR013C	2.292922352427157	0.5891935683658208	1.200746720550608	0.20982330147981423
YHR071W	0.9289069108198399	0.4569920396327193	1.3597010829163105	0.338136726760197
YIL144W	5.467467987734796	2.0517395166135683	1.561142490602478	0.4589352975237978
YIL031W	6.902825189240503	1.5458366177753962	2.4797841871701927	0.3798661892980599
YJL196C	2.4528845402580735	1.0373071477096694	1.6319273483983598	0.0638129159467084
YJL084C	6.483911062820628	3.402247639034343	1.285230771606565	0.4749748468314064
YJL083W	1.7209900463950312	0.7144319446223215	1.4338177288511373	0.10997000956959256
YJL003W	1.387581872263936	0.4055183151014052	1.7940722499641193	0.17629161014024497
YJR077C	1.0567962944484017	0.2049292657151122	1.21857234955388	0.2569870899620277
YJR138W	2.568995300204642	1.1608925828027044	1.878489533898667	0.09461063211039385
YKL122C	2.961958113277474	0.08849762113210376	1.5261145794770048	0.24015237110259977
YLL031C	5.860021766640744	1.472146259427266	2.416597752599238	0.415655889039212
YLR114C	3.5627998040023914	1.2853645521398693	2.137936548304751	0.4737710924446273
YLR259C	2.902526126463602	0.9697420768004392	1.8295868824174353	0.2620217672466847
YLR260W	1.9540567597610625	0.12469407474591053	0.7785320550018021	0.1275724368217328
YLR274W	1.60845832879718	0.24253742195482786	1.1940996321001511	0.037328176994554645
YML111W	6.487516063295511	1.7858411792123057	2.1395287722844905	0.47679682085535385
YML075C	3.5051133769582985	1.2117835088299052	1.3600208668386922	0.35029509057533015
YMR100W	1.6085781340207967	0.3787221628348104	0.985416022886804	0.23508251350291434
YMR122W-A	1.0167583452466438	0.11064951511073487	1.4520185861194042	0.21596259635117657
YMR208W	1.5227525259764523	0.13731797074062127	1.3406019626468002	0.15936643941414344
YNL305C	1.7733347847260372	0.3827912541180324	1.3727728599294908	0.5394955897169329
YNL015W	1.3185476032467498	0.22126370492522074	1.497890009973344	0.0791461038376696
YNR017W	2.2503883582553335	0.8409010191591042	2.519168056116295	1.1358131812306502
YOL135C	1.8494685291848338	0.5436521917365977	1.8644547049392497	0.4692104197602982
YOL103W	2.3865821974438535	0.6289879322967566	1.1145668679154188	0.29838241015205463
YOL100W	4.387360717552761	0.7886583070013315	1.3139769043059524	0.2339217277038053
YOL002C	1.2590506302627198	0.19843216465128838	1.6299102125200873	0.7650228985012187
YOR020W-A	4.541095232570757	1.5115476902784015	2.607410640964419	0.3771511734734533
YOR076C	1.7163362245391667	0.2105131190515263	1.6301896261763347	0.4829292572933005
YOR246C	1.4629250312853188	0.4514454808548071	1.5906204556160846	0.3608362134324007
YOR290C	2.1440031240505673	0.15146333671639853	1.0815047843083307	0.1386607804568373
YOR320C	3.053996626164402	0.7071925758918377	1.3721780903763807	0.09180475524801267
YOR321W	2.412413469848074	0.387798945596502	1.2942854745216337	0.24346098618692527
YOR350C	6.6513140622403855	4.759713480346881	2.1138617506787267	0.3243800070131249
YOR352W	2.4523404061801766	0.5196183587990286	1.5718815411804128	0.17063145323529527
YOR354C	2.0183778824153245	0.32834620857225527	1.6904759477029483	0.055707350798653174
YPL274W	1.2640111301206096	0.2523228355606659	1.480978762101264	0.20565995183663238
YPL163C	0.693506456048642	0.22230172834223305	1.113107998480667	0.028606142648242426
YPL160W	3.0064659871116888	0.7300622318394493	1.289097182737904	0.16231624028959352
YPL152W	2.518126227853631	0.47285977810779506	1.3834142617229013	0.0454497310210449
YPL120W	1.7773396586287546	0.3288835288660309	1.072736117418712	0.08544463213982498
YPL088W	4.194413617557154	1.995723164739803	2.5980325059603486	0.805334356309321
YPR013C	1.1562830962996875	0.1313441620349256	1.084320462451722	0.3503123874582064
YPR029C	4.50176798127949	1.991923049203525	1.7855369761772302	0.34683021862435437
YPR164W	2.712842430965818	0.1140371002301678	0.7093760764799262	0.09015903809199508
YCL057C-A	1.696345961814058	0.7420918913339494	1.3366729873916618	0.2629486070980404
YLR115W	2.0497626355886864	0.965907851225595	1.013185735572254	0.13991507485811006
YLR325C	1.1333915023458883	0.011176943396421403	1.255577450131142	0.22702023097561094
